id,name,fullName,password,idProfile,isResource,idTeam,idRole,isContact,initials,salt,crypto,cookieHash,passwordChangeDate,apiKey,profile,profileCode,role,role_descrip,team,idResource
18,Resource 18,Resource 18,12345,3,1,,,1,RHB,1c1d3f93a81fe2f7defabc6838e5e8078ac33498abdbca085fa369b1aaba581d,sha256,31c522a9e75a9ba27c215c170e705698,2018-02-27 00:00:00,1487420d345ccfb64ace8cc334a81538,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
19,Resource 19,Resource 19,12345,3,1,,,1,AZ,dfedb27897c9029a3de683c318e24d23378146094bfc33ae6df164dc69cb03ef,sha256,a8f975642ecda711cfc97449b1a018c4,2019-07-18 00:00:00,f36439c59efef5a98d3024975a662ee7,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
20,Resource 20,Resource 20,12345,3,1,,,1,RF,459f57ad2a9203fc52143d243611685ff718c3d3bcb4058bf8820dde17fb4dcc,sha256,b2cfc05d67730176fcb20dd304131052,2018-12-18 00:00:00,a42d22b3595e4f383b9b003acfe6b5ed,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
21,Resource 21,Resource 21,12345,1,1,,,1,RH,695980aa2869f35025d278036516b234ab25eb526ca301f449916de84b51ad8d,sha256,,2018-10-17 00:00:00,f95b9a4118268a872bd1bcf5ce23496e,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
22,Resource 22,Resource 22,12345,3,1,,,1,KBR,61e2b06f89406b029576b0386450fb21ca53f84fcac211139727184dcaf66ebf,sha256,,2018-06-14 00:00:00,2a16d4030a5182f42b305e2577ba00e8,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
23,Resource 23,Resource 23,12345,3,1,,,1,MM,8768ae727983c1cbe0f804dfa361ae9ba12262628bf173e04cb65f341d98b492,sha256,0a50e8d71e92bfeb832c16cb242aae20,2018-02-27 00:00:00,b7c88212c4d5602f1d50734081d0c15b,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
24,Resource 24,Resource 24,12345,3,1,,,1,CH,6de0bdb23941642fe69290a78d104a8e40b706332c4c71bacf3d23431c3c2289,sha256,07abc459fd8ed5de6f14fbfb60617750,2018-02-27 00:00:00,22339be9a4c1f89197cc35932a2c818b,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
25,Resource 25,Resource 25,12345,1,1,1,1,1,RH,4a127a656dd1808e934219bc3f2a7ccd2b457d4c428f9031722f3d41aa188b35,sha256,5a44ef3d6d1db94725005072f8938e7c,2018-02-19 00:00:00,3ecab1f58e885a855d0228e9e25d32e9,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
26,Resource 26,Resource 26,12345,3,1,,,1,FEF,939c4085a7cab36f7012d6f564dde07473aab7913bcd098d7f25315499e452c1,sha256,,2018-03-21 00:00:00,e5b1a98c247dbbaef2f5c827e7a5fd71,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
27,Resource 27,Resource 27,12345,3,1,,,1,NB,d6399a9b3438485eab8d84bffaee1e31569dbf1c3f1e3cf71516f9f54bc9bbb9,sha256,e16c32c0b937bae34cd1e9a411f7fc43,2018-04-02 00:00:00,25f49b6e678d71538d4d7772de8ffe14,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
28,Resource 28,Resource 28,12345,4,1,,,1,BZ,,md5,,,4dd49588fe4d1651e735c47b9137fc27,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
29,Resource 29,Resource 29,12345,3,1,,,1,ZA,af5070255ad9ca625d91385c29963f37175eccb9e476210861a8db0a9b0a98da,sha256,ab519ec41713957f73bacc3c3bb91a45,2020-05-11 00:00:00,1ee008f1b03a2afde2020da80362036a,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
30,Resource 30,Resource 30,12345,3,1,,,1,HZ,,md5,,,05870fbba16df81e3522d62889a3912d,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
31,Resource 31,Resource 31,12345,3,1,,,1,YK,cd0128671c0a0044c44b3ecff768c4861f9c0af6ccf3669b4c544fec7d978d19,sha256,,2018-02-27 00:00:00,cad315f7f76de326c0f6a249dfe5488f,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
32,Resource 32,Resource 32,12345,6,1,,,1,SM,,md5,,,118617610497af75f7b49ec22d068032,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
33,Resource 33,Resource 33,12345,4,1,,4,1,MG,d3efe3cf2fe572365c0da1149366075b269713cd8236b9c7b5cd2f55ba2fb495,sha256,fd1225794d2301a082e075b5a5adbe9e,2018-04-17 00:00:00,7c34a46fa699f1c26c47777e7085296a,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
34,Resource 34,Resource 34,12345,3,1,,1,1,MZ,737286cd7d0086ff195492783fc50cf4b5f6d97008bbde842e5e2e28c7cb27b5,sha256,613f2d7f5c287df638585706f40f308d,2020-06-08 00:00:00,69ee076ff7080bd673102b792ea21edd,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
35,Resource 35,Resource 35,12345,3,1,,,1,OL,,md5,,,23201c7b73226861e5f4b8d803767f01,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
36,Resource 36,Resource 36,12345,4,0,,,1,IG,,md5,,,,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
37,Resource 37,Resource 37,12345,4,1,,3,1,IG,d5235b812bd2f86bfdc234a8ec29cc0fcc50666e40cdb2fd5807e72aa62fd125,sha256,,2018-05-17 00:00:00,fd11d0efad1c3f366980597fe4dc6388,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
38,Resource 38,Resource 38,12345,5,1,,1,1,KT,467ebff5f293ba22b7f996d13484c091a6664ff60dac1660da14381fba7719a8,sha256,115cd4346b7faba8912b00f9d213277a,2018-06-01 00:00:00,a2b3e2697fa75faa4e38d74602759636,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
39,Resource 39,Resource 39,12345,4,1,,,1,HB,3619229bfae6576d683e02b301a31dc981a08d3f89ecb6808e0f12025fb01b49,sha256,,2018-10-22 00:00:00,248de9c18e1e6db1f563c5fd46d87286,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
40,Resource 40,Resource 40,12345,4,1,,,1,DA,fb8156395706f19740236c1dec31b86226b26b3804fce0857d4827f581e4eb61,sha256,170906c18525a4244d7ba73902401426,2018-06-21 00:00:00,c53c59c4e5d4e24b5018f1d3a841b6b3,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
41,Resource 41,Resource 41,12345,4,1,,,1,CB,e1ebb6381e2c1487fe6fb17e3892684958368b0518bbb46cca9555305cb01c5f,sha256,,2018-06-25 00:00:00,2f8b95bb757adb5b3b277c87b566df0a,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
42,Resource 42,Resource 42,12345,4,1,,,1,KA,acd3e16fa82cba26098790d8abfe79986d53674d5ecbf71b2a7b15ba800c392b,sha256,,2018-06-25 00:00:00,ea2cc53287383656aee343ecf83219cd,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
43,Resource 43,Resource 43,12345,4,1,,1,1,MBH,f0c450f3e71891c9df644d631763d4d86837662850028c9ade1fd38131ea316a,sha256,bd61607a8ade2dd770d381c457db98b4,2018-07-27 00:00:00,70f599b10e73b76276d28b206aecb5bc,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
44,Resource 44,Resource 44,12345,4,1,,,1,ZF,f6b42bd50ad823518b58b061279d558768cc655dc3aebf5271f220b12e9ed68f,sha256,6031540e076df5b302ca5ea416986118,2018-07-28 00:00:00,279a70f66ee8e7d858cd4f11b0a0ec4a,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
45,Resource 45,Resource 45,12345,4,1,,,1,MS,8acbf9671c2fea3bc370280ed800e575393e02a7465be01a7315b96368319cba,sha256,,,170a80ff8715eb8e8dec822bffe4b5d2,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
46,Resource 46,Resource 46,12345,4,1,,,1,ABS,35682515721c71fe9f19496a9bf81c2191d8d8cbe408d4d423ea1d1daf434075,sha256,,,658f35babd691ddb2898d6eb79578850,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
47,Resource 47,Resource 47,12345,4,1,,1,1,HEL,6cb79520df0ad73c18c85ca70008187c341759e51f744e905124c79802538df8,sha256,,2020-07-23 00:00:00,c435aa7671e10ceab834823e4c1fdf89,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
48,Resource 48,Resource 48,12345,5,1,,,1,WS,5c63c7932c87e7f8e67dac5fe86a42eb2ea0273f7372ab4c078be2f4dca89dc6,sha256,,2018-09-03 00:00:00,a933e8d6cd0641db3cb75ba31ff36c8f,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
49,Resource 49,Resource 49,12345,4,1,,,1,MJ,32002b661d4d06ebd531ec1d65539a4a9f89b23b1539bcacfc3e103c42853712,sha256,,2018-08-30 00:00:00,5f9d582806ba743449eb56e94bce5bd8,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
50,Resource 50,Resource 50,12345,5,1,,,1,NM,6830832f377a7f1f8bcfb06181c8dd37f7c708a7b50e6f7ab0304a5f6c4fd662,sha256,,2018-11-23 00:00:00,c50d149627387e656dc870432222f9e9,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
51,Resource 51,Resource 51,12345,5,1,,,1,,55423bf5d8a83ec673503330cd632b14f5926699bb8acf0ef4ba3fafc3742fa0,sha256,,2019-05-15 00:00:00,2a4dba8123aa48b3ad60179bbbb04abc,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
52,Resource 52,Resource 52,12345,4,1,,,1,AK,baf30a96e7f11eb732d1705f3bc87805db193c6ac6188c136d1d119cda55a928,sha256,,,902e9d926c2d1a85be81ef1c170e1775,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
53,Resource 53,Resource 53,12345,4,1,,,1,AN,36ffce8ac52023fde7156f2903c9835e51f6ee0d974ab41bd1f6fe309e1928fa,sha256,efdb7ad592babb831385061c4d9b6cd0,2020-11-12 00:00:00,5a24190b5fbbe7823e6dbb1f05630fcf,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
54,Resource 54,Resource 54,12345,3,1,,,1,RH,6eadf7f50d812844627d85777ec684c83d4f799425b9f5557909ad3e8feb54b7,sha256,489513d5b65fc3ad4fecf659e425812e,2019-12-06 00:00:00,b9b00d6266552b627d12334dc5bf3f61,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
55,Resource 55,Resource 55,12345,4,1,,,1,IY,82bd14bf8763a566df42f18bd790e5844c1eed4021d8a5909fa6d75939222d3b,sha256,d07ef5b8489bdc21010af8be00f4cccd,2020-09-30 00:00:00,e5dd8ba099fe9e78d1a313e89d1e8471,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
56,Resource 56,Resource 56,12345,4,1,,,1,MC,b180ee15b9b93c37a20503b1b9c871665cc906895fe9fea5daa4baadcde2bb00,sha256,273e990598b87d8f4fcd2baaa1640c9e,2020-01-20 00:00:00,57997c0e7d755c8f52cdcd64d9368698,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
57,Resource 57,Resource 57,12345,5,1,,,1,AD,0c9d37ddbbb9177b2129761b0f347fc358889dbddf13baae01afdf75cf901166,sha256,,2021-01-06 00:00:00,a9089ba46abd40de7f0c7d2f4a8207e8,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
58,Resource 58,Resource 58,12345,5,1,,2,1,NBS,15d3fe7342168c2d16425355cb3698bb0da00cea624a1d48bc4a2d7e519a55ae,sha256,37cce361ffd41a90e793c191686c7b52,2020-05-15 00:00:00,5f20583fbb86fdb3fe8bda5ad4a34fa9,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
59,Resource 59,Resource 59,12345,4,1,,,1,SA,3e5dc0c91f6dcd2a8e9314e3a7a9c9bbb20b02874e9512f0a62c48da5f899708,sha256,d6f097755e0321899cbc4341e72f5217,2020-07-13 00:00:00,99ec235c26e8d7255c178eee0030647b,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
60,Resource 60,Resource 60,12345,5,1,,,1,HZ,b00e987cfda4f0638f73aa02e77f52df65696bfb086b108a178a348bd5ff6e85,sha256,,,0c6e0c658972fc918749a1a8061e73cd,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
61,Resource 61,Resource 61,12345,2,0,,,0,HBH,064830853d01f6f9a7effe017f47c30cd099a90b1eb275852688964b1668bdd6,sha256,c4c1e94633be80426c79eada4f565d40,2020-10-22 00:00:00,81b896f1e83961bb44e5750f42e612cd,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
62,Resource 62,Resource 62,12345,4,1,,,1,AA,2b424d3269ffd4bc2bf2782ad92312398cb3b19300fb4cd28aa78c366728c70c,sha256,625151a0afd2b01256a8fb71a350edeb,2020-11-23 00:00:00,5dd7ef0c6bbfc4ce9bc2e5344cac11c4,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
63,Resource 63,Resource 63,12345,4,1,,,1,MG,54f2574d93fe8853cf602c082e790539c0cc0f8df03c070571a5a9e941b7583a,sha256,,2020-11-27 00:00:00,f1a1588aab7995a4f8d66c92a33bf580,profileAdministrator,ADM,Machine,Non human resource,Abacus Team,7
